iter	Passed	Remaining
0	1	180
1	3	157
2	4	131
3	4	117
4	5	110
5	6	102
6	7	96
7	7	91
8	8	86
9	9	87
10	10	87
11	11	85
12	12	85
13	13	84
14	14	82
15	15	80
16	15	77
17	16	76
18	17	76
19	18	74
20	19	72
21	20	71
22	20	69
23	21	69
24	22	67
25	23	66
26	23	64
27	24	63
28	25	61
29	25	60
30	26	59
31	27	58
32	27	56
33	28	55
34	29	54
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	32	46
41	33	45
42	33	44
43	34	43
44	34	42
45	35	41
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	32
56	41	31
57	41	30
58	42	29
59	43	28
60	43	27
61	44	27
62	44	26
63	45	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	65	0
