iter	Passed	Remaining
0	158	158033
1	159	79833
2	161	53675
3	162	40560
4	164	32657
5	165	27469
6	170	24149
7	171	21287
8	172	19016
9	173	17217
10	175	15788
11	176	14536
12	177	13493
13	178	12577
14	179	11784
15	180	11084
16	181	10492
17	182	9977
18	184	9501
19	188	9222
20	189	8836
21	190	8468
22	191	8127
23	192	7812
24	192	7525
25	194	7269
26	194	7026
27	196	6811
28	201	6743
29	202	6542
30	203	6347
31	203	6164
32	204	6000
33	205	5841
34	206	5688
35	207	5548
36	207	5410
37	208	5279
38	209	5159
39	215	5180
40	216	5073
41	217	4964
42	218	4860
43	219	4761
44	219	4666
45	220	4581
46	221	4492
47	222	4405
48	222	4323
49	223	4243
50	223	4166
51	224	4091
52	225	4035
53	229	4016
54	230	3955
55	231	3894
56	231	3835
57	232	3776
58	233	3722
59	234	3668
60	234	3615
61	235	3563
62	236	3515
63	236	3465
64	237	3417
65	238	3369
66	238	3323
67	239	3278
68	243	3283
69	244	3251
70	245	3213
71	246	3176
72	247	3137
73	247	3102
74	248	3069
75	249	3033
76	250	2998
77	250	2962
78	251	2928
79	251	2895
80	252	2863
81	252	2831
82	253	2797
83	253	2767
84	258	2780
85	259	2762
86	260	2735
87	261	2709
88	262	2682
89	262	2658
90	263	2634
91	264	2609
92	264	2583
93	265	2558
94	266	2534
95	266	2510
96	267	2486
97	267	2463
98	268	2441
99	268	2419
100	269	2397
101	275	2428
102	276	2409
103	277	2390
104	278	2371
105	278	2352
106	280	2336
107	280	2318
108	281	2299
109	281	2280
110	282	2262
111	283	2243
112	283	2226
113	284	2209
114	286	2203
115	289	2203
116	289	2187
117	290	2173
118	291	2158
119	292	2142
120	292	2128
121	293	2114
122	294	2098
123	294	2083
124	295	2068
125	296	2053
126	296	2038
127	297	2024
128	297	2011
129	298	1997
130	299	1983
131	304	1999
132	305	1989
133	305	1977
134	306	1966
135	307	1954
136	308	1942
137	308	1929
138	309	1917
139	310	1906
140	311	1894
141	311	1881
142	311	1869
143	312	1858
144	313	1846
145	313	1834
146	314	1823
147	315	1818
148	316	1809
149	317	1800
150	318	1789
151	319	1780
152	320	1771
153	320	1761
154	321	1751
155	321	1741
156	322	1730
157	322	1720
158	323	1711
159	324	1701
160	324	1690
161	325	1681
162	329	1691
163	330	1685
164	331	1677
165	332	1670
166	333	1661
